overall_placement,team_name,gym,week,score,score_cum,rank_weekly,rank_weekly_within_gym,score_hex,score_cum_hex
1,Bishi Bashi,Vancouver,1,22.2,22.2,1,1,4.4399999999999995,4.4399999999999995
17,Generic Bouldering Team Name,Vancouver,1,21.67,21.67,2,2,4.3340000000000005,4.3340000000000005
3,hExcelsior!,Vancouver,1,21.5,21.5,3,3,4.3,4.3
2,"Gaston, Gastoff",Vancouver,1,20.8,20.8,4,4,4.16,4.16
7,Bringing Hexy Back,North Shore,1,18.4,18.4,5,1,3.6799999999999997,3.6799999999999997
31,One Hex Flex,Vancouver,1,18.4,18.4,6,5,3.6799999999999997,3.6799999999999997
8,Fall Down Boy,Surrey,1,18.2,18.2,7,1,3.6399999999999997,3.6399999999999997
5,Pumpkin Eaters,North Shore,1,17.6,17.6,8,2,3.5200000000000005,3.5200000000000005
4,Voldemort,Surrey,1,17.25,17.25,9,2,3.45,3.45
24,Soft Rock,Vancouver,1,16.5,16.5,10,6,3.3,3.3
10,Bee Sharps,North Shore,1,16.4,16.4,11,3,3.28,3.28
23,Aaron Iacovitti,North Shore,1,16.4,16.4,12,4,3.28,3.28
16,Cracks & Granite,North Shore,1,16,16,13,5,3.2,3.2
27,Our Beta is no-guchi,Vancouver,1,15.5,15.5,14,7,3.1,3.1
12,Six Sides to Every Problem,Vancouver,1,15.4,15.4,15,8,3.08,3.08
11,Crux-odile Dundee,Surrey,1,15,15,16,3,3,3
6,Jako,Vancouver,1,14.8,14.8,17,9,2.96,2.96
13,Unprotected Sends,Surrey,1,14,14,18,4,2.8,2.8
34,Baby Hands,Vancouver,1,14,14,19,10,2.8,2.8
20,The Chalk Monsters,North Shore,1,13.5,13.5,20,6,2.7,2.7
29,Blood Sugar Hex Magik,Surrey,1,13.4,13.4,21,5,2.68,2.68
14,Dinky Dynos,Surrey,1,13.2,13.2,22,6,2.6399999999999997,2.6399999999999997
15,The Mango Pudding Express,Vancouver,1,13.2,13.2,23,11,2.6399999999999997,2.6399999999999997
18,Crimping Your Style,Vancouver,1,13.2,13.2,24,12,2.6399999999999997,2.6399999999999997
36,Rock Hard Rob,Surrey,1,12.8,12.8,25,7,2.56,2.56
9,Crimp My Ride,Vancouver,1,12.75,12.75,26,13,2.55,2.55
39,"Vol, U & Me",Vancouver,1,12.67,12.67,27,14,2.534,2.534
33,The Styhedrals,Vancouver,1,12.5,12.5,28,15,2.5,2.5
26,Hive Got A Problem,Vancouver,1,12.2,12.2,29,16,2.44,2.44
21,Statistically Significant,Vancouver,1,12,12,30,17,2.4,2.4
28,Pinching For Our Lives,Vancouver,1,11.6,11.6,31,18,2.32,2.32
22,Beta Late Than Never,Vancouver,1,11.33,11.33,32,19,2.266,2.266
25,The Rumble,Vancouver,1,10.8,10.8,33,20,2.16,2.16
19,Jugs Not Drugs,Vancouver,1,10.5,10.5,34,21,2.1,2.1
37,Jurassic Plastic,Surrey,1,10,10,35,8,2,2
38,Veloci-rock-tors,Vancouver,1,10,10,36,22,2,2
30,Between the Chalks,Vancouver,1,9.75,9.75,37,23,1.95,1.95
32,Bare Minimum,Vancouver,1,9,9,38,24,1.8,1.8
35,Whale Climb Lots,North Shore,1,9,9,39,7,1.8,1.8
1,Bishi Bashi,Vancouver,2,22.4,44.599999999999994,1,1,4.4799999999999995,4.4799999999999995
2,"Gaston, Gastoff",Vancouver,2,21.8,42.6,2,2,4.36,4.36
3,hExcelsior!,Vancouver,2,20.5,42,3,3,4.1,4.1
4,Voldemort,Surrey,2,19.5,36.75,4,1,3.9,3.9
5,Pumpkin Eaters,North Shore,2,19,36.6,5,1,3.8,3.8
31,One Hex Flex,Vancouver,2,18.67,37.07,6,4,3.7340000000000004,3.7340000000000004
6,Jako,Vancouver,2,18,32.8,7,5,3.6,3.6
23,Aaron Iacovitti,North Shore,2,18,34.4,8,2,3.6,3.6
7,Bringing Hexy Back,North Shore,2,17.8,36.2,9,3,3.56,3.56
11,Crux-odile Dundee,Surrey,2,17.25,32.25,10,2,3.45,3.45
10,Bee Sharps,North Shore,2,17.2,33.599999999999994,11,4,3.44,3.44
8,Fall Down Boy,Surrey,2,17,35.2,12,3,3.4,3.4
20,The Chalk Monsters,North Shore,2,16.67,30.17,13,5,3.3340000000000005,3.3340000000000005
13,Unprotected Sends,Surrey,2,16.6,30.6,14,4,3.3200000000000003,3.3200000000000003
24,Soft Rock,Vancouver,2,16.5,33,15,6,3.3,3.3
27,Our Beta is no-guchi,Vancouver,2,15.75,31.25,16,7,3.15,3.15
9,Crimp My Ride,Vancouver,2,15.5,28.25,17,8,3.1,3.1
17,Generic Bouldering Team Name,Vancouver,2,15.5,37.17,18,9,3.1,3.1
12,Six Sides to Every Problem,Vancouver,2,15.4,30.8,19,10,3.08,3.08
28,Pinching For Our Lives,Vancouver,2,15.4,27,20,11,3.08,3.08
16,Cracks & Granite,North Shore,2,15.2,31.2,21,6,3.04,3.04
14,Dinky Dynos,Surrey,2,15,28.2,22,5,3,3
18,Crimping Your Style,Vancouver,2,14.8,28,23,12,2.96,2.96
19,Jugs Not Drugs,Vancouver,2,14.25,24.75,24,13,2.85,2.85
22,Beta Late Than Never,Vancouver,2,13.5,24.83,25,14,2.7,2.7
29,Blood Sugar Hex Magik,Surrey,2,13,26.4,26,6,2.6,2.6
37,Jurassic Plastic,Surrey,2,13,23,27,7,2.6,2.6
38,Veloci-rock-tors,Vancouver,2,13,23,28,15,2.6,2.6
36,Rock Hard Rob,Surrey,2,12.8,25.6,29,8,2.56,2.56
15,The Mango Pudding Express,Vancouver,2,12.6,25.799999999999997,30,16,2.52,2.52
35,Whale Climb Lots,North Shore,2,12.25,21.25,31,7,2.45,2.45
34,Baby Hands,Vancouver,2,12,26,32,17,2.4,2.4
21,Statistically Significant,Vancouver,2,11.8,23.8,33,18,2.3600000000000003,2.3600000000000003
33,The Styhedrals,Vancouver,2,11.5,24,34,19,2.3,2.3
26,Hive Got A Problem,Vancouver,2,10.75,22.95,35,20,2.15,2.15
25,The Rumble,Vancouver,2,10.4,21.200000000000003,36,21,2.08,2.08
30,Between the Chalks,Vancouver,2,10.25,20,37,22,2.05,2.05
32,Bare Minimum,Vancouver,2,8.4,17.4,38,23,1.6800000000000002,1.6800000000000002
39,"Vol, U & Me",Vancouver,2,NA,12.67,NA,NA,NA,NA
1,Bishi Bashi,Vancouver,3,24,68.6,1,1,4.8,4.8
17,Generic Bouldering Team Name,Vancouver,3,23.5,60.67,2,2,4.7,4.7
2,"Gaston, Gastoff",Vancouver,3,23.25,65.85,3,3,4.65,4.65
3,hExcelsior!,Vancouver,3,20.25,62.25,4,4,4.05,4.05
24,Soft Rock,Vancouver,3,19.5,52.5,5,5,3.9,3.9
4,Voldemort,Surrey,3,19.25,56,6,1,3.85,3.85
6,Jako,Vancouver,3,19.2,52,7,6,3.84,3.84
9,Crimp My Ride,Vancouver,3,18.5,46.75,8,7,3.7,3.7
11,Crux-odile Dundee,Surrey,3,18,50.25,9,2,3.6,3.6
7,Bringing Hexy Back,North Shore,3,17.8,54,10,1,3.56,3.56
13,Unprotected Sends,Surrey,3,17.6,48.2,11,3,3.5200000000000005,3.5200000000000005
23,Aaron Iacovitti,North Shore,3,17.6,52,12,2,3.5200000000000005,3.5200000000000005
5,Pumpkin Eaters,North Shore,3,17.4,54,13,3,3.4799999999999995,3.4799999999999995
31,One Hex Flex,Vancouver,3,17.4,54.47,14,8,3.4799999999999995,3.4799999999999995
12,Six Sides to Every Problem,Vancouver,3,17.2,48,15,9,3.44,3.44
10,Bee Sharps,North Shore,3,16.8,50.4,16,4,3.3600000000000003,3.3600000000000003
27,Our Beta is no-guchi,Vancouver,3,16.75,48,17,10,3.35,3.35
